day,date,set,arm,position,duration(sec),size(mm)
1,2022-12-23,1,left,straight,1.3,22
1,2022-12-23,1,right,straight,0.8,22
1,2022-12-23,2,left,straight,1.7,22
1,2022-12-23,2,right,straight,2.46,22
1,2022-12-23,3,left,straight,2.02,22
1,2022-12-23,3,right,straight,1.35,22
1,2022-12-23,1,left,bent,1.46,22
1,2022-12-23,1,right,bent,1.33,22
1,2022-12-23,2,left,bent,3.05,22
1,2022-12-23,2,right,bent,6.64,22
1,2022-12-23,3,left,bent,2.24,22
1,2022-12-23,3,right,bent,4.26,22
1,2022-12-23,1,left,lockoff,1.02,22
1,2022-12-23,1,right,lockoff,1.02,22
1,2022-12-23,2,left,lockoff,2.03,22
1,2022-12-23,2,right,lockoff,1.58,22
1,2022-12-23,3,left,lockoff,0.99,22
1,2022-12-23,3,right,lockoff,1.09,22
2,2022-12-26,1,left,straight,1.8,22
2,2022-12-26,1,right,straight,2.34,22
2,2022-12-26,2,left,straight,1.98,22
2,2022-12-26,2,right,straight,1.57,22
2,2022-12-26,3,left,straight,1.59,22
2,2022-12-26,3,right,straight,3.23,22
2,2022-12-26,1,left,bent,2.32,22
2,2022-12-26,1,right,bent,3.76,22
2,2022-12-26,2,left,bent,2.04,22
2,2022-12-26,2,right,bent,4.02,22
2,2022-12-26,3,left,bent,4.28,22
2,2022-12-26,3,right,bent,7.35,22
2,2022-12-26,1,left,lockoff,1.82,22
2,2022-12-26,1,right,lockoff,1.65,22
2,2022-12-26,2,left,lockoff,2.51,22
2,2022-12-26,2,right,lockoff,3.63,22
2,2022-12-26,3,left,lockoff,2.09,22
2,2022-12-26,3,right,lockoff,2.71,22
